"TransactionID","ProductID","Quantity"
"TR001","PR003","5"
"TR001","PR008","10"
"TR001","PR013","20"
"TR001","PR038","15"
"TR002","PR016","20"
"TR002","PR022","7"
"TR002","PR025","3"
"TR002","PR042","12"
"TR003","PR001","2"
"TR003","PR006","6"
"TR003","PR017","9"
"TR003","PR020","4"
"TR004","PR014","11"
"TR004","PR028","5"
"TR004","PR039","17"
"TR004","PR040","20"
"TR005","PR011","7"
"TR005","PR030","2"
"TR005","PR037","15"
"TR005","PR041","10"
"TR006","PR002","20"
"TR006","PR008","12"
"TR006","PR019","5"
"TR006","PR036","8"
"TR007","PR013","11"
"TR007","PR021","3"
"TR007","PR024","15"
"TR007","PR042","17"
"TR008","PR014","3"
"TR008","PR028","7"
"TR008","PR038","12"
"TR008","PR039","20"
"TR009","PR005","17"
"TR009","PR011","20"
"TR009","PR016","3"
"TR009","PR022","11"
"TR010","PR003","12"
"TR010","PR007","7"
"TR010","PR037","3"
"TR010","PR039","20"
"TR011","PR019","7"
"TR011","PR022","3"
"TR011","PR038","12"
"TR011","PR040","20"
"TR012","PR002","3"
"TR012","PR008","20"
"TR012","PR025","12"
"TR012","PR037","7"
"TR013","PR014","7"
"TR013","PR028","3"
"TR013","PR038","20"
"TR013","PR039","12"
"TR014","PR013","12"
"TR014","PR021","7"
"TR014","PR024","3"
"TR014","PR042","20"
"TR015","PR014","20"
"TR015","PR028","3"
"TR015","PR038","7"
"TR015","PR039","12"
"TR016","PR005","7"
"TR016","PR011","20"
"TR016","PR016","3"
"TR016","PR022","12"
"TR017","PR003","12"
"TR017","PR007","7"
"TR017","PR037","3"
"TR017","PR039","20"
"TR018","PR019","7"
"TR018","PR022","3"
"TR018","PR038","12"
"TR018","PR040","20"
"TR019","PR002","3"
"TR019","PR008","20"
"TR019","PR025","12"
"TR019","PR037","7"
"TR020","PR014","7"
"TR020","PR028","3"
"TR020","PR038","20"
"TR020","PR039","12"
"TR021","PR013","12"
"TR021","PR021","7"
"TR021","PR024","3"
"TR021","PR042","20"
"TR022","PR014","20"
"TR022","PR028","3"
"TR022","PR038","7"
"TR022","PR039","12"
"TR023","PR005","7"
"TR023","PR011","20"
"TR023","PR016","3"
"TR023","PR022","12"
"TR024","PR003","12"
"TR024","PR007","7"
"TR024","PR037","3"
"TR024","PR039","20"
"TR025","PR019","7"
"TR025","PR022","3"
"TR025","PR038","12"
"TR025","PR040","20"
"TR026","PR002","3"
"TR026","PR008","20"
