"TransactionID","EmployeeID","CustomerID","TransactionDate"
"TR001","EM006","CU002","2022-05-01"
"TR002","EM005","CU003","2022-07-02"
"TR003","EM011","CU001","2022-02-14"
"TR004","EM014","CU007","2022-10-20"
"TR005","EM005","CU008","2022-12-25"
"TR006","EM009","CU009","2022-06-06"
"TR007","EM011","CU015","2022-01-01"
"TR008","EM013","CU005","2022-03-02"
"TR009","EM014","CU013","2022-08-09"
"TR010","EM009","CU002","2022-09-01"
"TR011","EM013","CU008","2022-07-12"
"TR012","EM006","CU014","2022-11-25"
"TR013","EM005","CU001","2022-10-31"
"TR014","EM009","CU003","2022-12-24"
"TR015","EM005","CU010","2022-04-12"
"TR016","EM011","CU011","2022-02-14"
"TR017","EM006","CU013","2022-05-17"
"TR018","EM005","CU002","2022-07-04"
"TR019","EM009","CU005","2022-01-18"
"TR020","EM014","CU009","2022-06-06"
"TR021","EM009","CU014","2022-03-17"
"TR022","EM014","CU006","2022-08-15"
"TR023","EM005","CU007","2022-12-25"
"TR024","EM009","CU015","2022-10-31"
"TR025","EM006","CU010","2022-11-01"
"TR026","EM014","CU005","2022-02-14"
"TR027","EM009","CU008","2022-04-12"
"TR028","EM014","CU014","2022-07-04"
"TR029","EM005","CU009","2022-08-09"
"TR030","EM014","CU001","2022-12-24"
"TR031","EM005","CU006","2022-05-17"
"TR032","EM009","CU011","2022-10-20"
"TR033","EM014","CU002","2022-11-25"
"TR034","EM005","CU010","2022-09-01"
"TR035","EM014","CU003","2022-06-06"
"TR036","EM011","CU007","2022-01-06"
"TR037","EM009","CU013","2022-03-02"
"TR038","EM005","CU014","2022-08-09"
"TR039","EM014","CU005","2022-09-01"
"TR040","EM009","CU001","2022-07-12"
"TR041","EM013","CU009","2022-11-25"
"TR042","EM006","CU006","2022-10-31"
"TR043","EM009","CU008","2022-12-24"
"TR044","EM014","CU015","2022-04-12"
"TR045","EM005","CU011","2022-02-14"
"TR046","EM009","CU002","2022-05-17"
"TR047","EM006","CU003","2022-07-04"
"TR048","EM014","CU007","2022-02-01"
"TR049","EM009","CU014","2022-06-06"
"TR050","EM014","CU010","2022-03-17"
"TR051","EM005","CU005","2022-08-15"
"TR052","EM014","CU013","2022-12-25"
"TR053","EM005","CU009","2022-10-31"
"TR054","EM006","CU006","2022-11-01"
"TR055","EM009","CU008","2022-02-14"
"TR056","EM014","CU014","2022-04-12"
"TR057","EM005","CU009","2022-07-04"
"TR058","EM014","CU001","2022-08-09"
"TR059","EM005","CU006","2022-12-24"
"TR060","EM009","CU011","2022-05-17"
"TR061","EM014","CU002","2022-10-20"
"TR062","EM005","CU010","2022-11-25"
"TR063","EM014","CU003","2022-09-01"
"TR064","EM011","CU007","2022-06-06"
"TR065","EM009","CU013","2022-03-02"
"TR066","EM005","CU014","2022-08-09"
"TR067","EM014","CU005","2022-09-01"
"TR068","EM009","CU001","2022-07-12"
"TR069","EM013","CU009","2022-11-25"
